"review","sentiment"
"otra novela policiaca del prolifico autor esteban navarro como casi todas sus obras tiene un gran ritmo y una narrativa sencilla de leer lo cual ayuda a que la trama enganche desde el principio y nos metamos en la piel de la protagonista la historia se desarrolla sin altibajos tampoco hay grandes sorpresas ni giros dramaticos y nos va guiando hacia un final convincenteen definitiva lo mejor una de esas novelas faciles de leer que enganchan y se digieren bienlo menos bueno a mi entender una historia algo plana sin sorpresas no es tan buena como una historia de policias tambien de esteban navarro pero no se queda muy lejos","1"
"libro ameno y facil lecturasera cierto algo de todo lo que cuenta debate para otro foro cualquier parecido con la ficcion","1"
"un libro muy entretenido facil de leer para echar una o dos tardes relajado y olvidarte de todo lo demas","1"
"en los primeros capitulos aparece un muerto aunque sabemos que la protagonista no es la asesina las pruebas apuntan a ella a partir de ahi esperaba que la trama se centrase en las pesquisas de rebeca para probar su inocencia pero el autor nos hace un regate y nos lleva a seguir a la aspirante a policia en su lucha contra la corrupcion del cuerpo","0"
"la verdad es que hacia un puñado de años que no leia nada tipo novela y aunque antes los devoraba ultimamente me costaba meterme en este tipo de libros siempre tenia otras cosas que hacer o que leerpero cuando le di una oportunidad a este libro ya no pude parar me ha gustado mucho la tematica como se describen los personajes a traves de los ojos de la protagonista las situaciones etc personalmente me ha gustado mucho tambien los capitulos cortos y que te dejan con ganas de mas eso termino por engancharme mucho y queria seguir devorando paginas","1"
"es facil de leer y su trama engancha alguien que ha estado dentro sabe como funcionan las cosas y como deberian funcionar","1"
"una novela que me ha atrapado algo menos que otras del mismo autor es buena historia pero le falta un poco de emocion","1"
"la clasificacion con 4 estrellas es porque considero que todo lo que hacemos es mejorable en lineas generales me ha gustado mucho te engancha desde el primer capitulo","1"
"como siempre no me ha defraudado me gusta el giño romantico y la busqueda de identidad de la protagonista totalmente recomendable no doy 5 estrellas porque la perfeccion  no existe","1"
"la trama se va diluyendo poco a poco y pasa de una novela amena y con intriga a una novela convencional poco interesante algo pesada con detalles y personajes que no aportan nada y hace que la trama principal no se resuelva bien tambien hay algunos fallos de bulto en las fechas o dias de la semana que se podrian haber evitado","0"
"una gran novela me esta encantando este autor como a muchos y ahora una opinion creo que el autor no pudo evitar deslizar un poco de una leccion aplicada de etica y se le perdona porque es un escritorazo","1"
"trama e historia muy bien desarrolladas te engancha desde el primer momento se debora muy buena lectura no resulta pesado","1"
"me ha gustado mucho el autor sigue en su linea de contar una historia rapida y ligera la historia se ve desde la perspectiva desde antes de estar en la policia desde la academia como se empiezan a ver cosas raras esta novela en particular tiene muchos capitulos pero muy cortitos cosa que me ha sorprendido y me ha gustado se la he pasado a mi mujer y tambien le esta gustando mucho es un libro que hay que leer","1"
"libro de lectura amena y que te transporta a unos años atras  buena trama y entretenida","1"
"una novela facil de leer pero a mi personalmente no es de las que mas me ha gustado de este autor  lo cual no quiere decir que sea mala ni nada por el estilo seguiremos leyendo el trabajo de esteban navarro ","0"
"un buen libro sobre el trabajo de la policia en la españa de final del siglo xx un relato que te engancha desde el principio esteban navarro denuncia a traves de twitter y youtube muchas irregularidades policiales lo que le ha granjeado enemistades en el cuerpo no hagais caso de las valoraciones negativas la mayoria son de gente que no se ha leido el libro incluso es posible que no hayan leido en su vida","1"
"una buena trama sobre un policia nacional en practicasambientada antes del año 2000 al final del relato  todo cobra sentido","0"
"lectura apasionante narracion fluida y llena de detalles muy recomendable segunda novela leida del autor que se mantiene un muy buen nivel de interes y argumentos reales","1"
"libro muy ameno y entretenido gracias a un estilo personal que me ha ido enganchando hasta el final a medida que avanzaba en la lectura rebeca es una joven e inexperta policia recien salida de la academia cuyas expectativas daran un giro despues de un intenso periodo de practicas narracion muy bien planteada entre la ficcion y los detalles reales me ha encantado el libro y su protagonista","1"
"ameno esclarecedor aunque sea ficcion  de facil lectura","1"
"el autor fue policia y sabe de lo que habla relata minuciosamente la vida de una joven aspirante a policia que ira descubriendo la corrupcion en el cuerpo tambien su vida personal con una sexualidad que le llevara a amar a otras mujeres igualmente veremos su valentia ante adversidades y un acontecimiento inesperado todo narrado con maestria","1"
"no conocia a este autor y me he llevado una grata sorpresa capitulos cortos que te hacen seguir con las ganas de leer mas para ver que va a ocurrir a continuacion una lectura agil que no se hace pesada en absoluto ciertamente para mi ha sido todo un descubrimiento que me ha gustado mucho","1"
"acabo de terminar la empece hace dos dias es agil  y te hace sentir muy cercano a sus personajes ahora entiendo el porque a un sector de la policia nacional  no le ha hecho gracia esta trama tan probablela recomiendo me ha hecho disfrutar","1"
"dificil hacer una reseña sin destripar lo que aqui se narra retrato de unas vidas que atemoriza da miedo saber que puedes formar parte de un plan trazado previamente historia que no te deja atras con una narracion espectacular imposible dejar de leer sacando horas al reloj de donde no las hay ahora a esperar la proxima novela","1"
"una novela trepidante de principio a fin es muy curioso como se ve crecer a la protagonista y como va madurando segun avanza la historiaes de esos libros que te tienes que leer de una tirada porque te enganchan y no los puedes soltaruna novela estupenda","1"
"de las mejores novelas del autor en cuanto a trama y dinamismo de la accion como siempre cuidadisima documemtacion y ambientacion en la barcelona post-olimpica que tan bien conoce esteban me ha gustado mucho leerla","1"
"interesante y amena novela que desvela los entresijos de la corporativizacion de la policia expuestos como ficcion y creando la duda de hasta que punto no son una denuncia de lo que ocurre realmente en muchos otros ambitos como la politica las empresas las religiones","1"
"la primera que he leido de este escritory me ha encantadoes una novela trepidante y agilcon un lenguaje sobrio que capta tu atencion desde el principio de las que hay que leer de un tiron","1"
"bueno es la primera novela que leo de este escritor y no sera la ultima muy amena la lectura y sobretodo entretenida genial","1"
"me gusto este libro por que desde la primera pagina me enganche y no podia dejar de leerlo lo recomiendo","1"
"la mejor novela hasta hoy de esteban navarro trepidante emocionante me ha enganchado desde el primer parrafo y en solo en un fin de semana me la he leido ya que no podia esperar a conocer el final de tan maravillosas novela","1"
"una buena novela policiaca plagada de corrupcion la recomiendo","1"
"si te gustan los thriller policiacos deberias leer un año de practicas","1"
"me ha encantado leere los siguientes","1"
"un libro que te engancha desde el minuto 1","1"
"estilo agil se lee muy facil engancha desde la primera a la ultima pagina gran descubrimiento esteban navarro","1"
"lectura muy entretenida y recomendableme deja con gana de leer mas libros del autor y con algo de pena por haberlo acabado me ha cautivado","1"
"me ha encantado me ha tenido enganchada hasta el final mil gracias esteban por tu generosidad y facilitarme la posibilidad de conocer tu obra algo que sin duda hare","1"
"excelente novela donde se nos muestra a que se enfrenta la protagonista al acceder al cnp el autor refleja muy bien los casos a los que tienen que enfrentarse los policias","1"
"me ha gustado mucho me ha robado horas de sueño porque no es facil dejar de leer para acostarse a dormir","1"
"me ha encantado una historia que te atrapa desde el principio sin dejar de preguntarte cuanto hay de cierto en torno al corporativismo en nuestros cuerpos policiales ","1"
"esteban navarro es siempre una garantia dentro del genero y un año de practicas es una confirmacion mas","1"
"nunca habia leido nada de este autor y no se si es que tenia las expectativas muy altas o es que realmente su manera de escribir es mas simple que el asa de un cubo estoy completamente decepcionada","0"
"un libro agil de leer lleno de accion donde a veces nada es lo que parece muy interesante hasta el final","1"
"engancha desde el principio te obliga a seguir leyendo y te adentra en lo mas oscuro de la corrupcion policial","1"
"me ha encantado tiene un ritmo trepidante desde el principio hasta el final te hace vivir la historia como si estuvieras en ella","1"
"desde la primera hoja hasta la ultima te mantiene en tension he disfrutado muchode los mejores libros de esteban navarro","1"
"entretenido lectura ligera","1"
"libro entretenido y rapido de leer buena novela y gran autor muy recomendable","1"
"empieza muy bien con lo de la pobre chica pero cuando empieza a meter todos esos datos de procedimientos policiales con pelos y señales la atencion decae 100%","0"
"me ha gustado mucho interesante de principio a final se lee muy bien y rapido","1"
"me ha encantado como todo lo que escribe","1"
"me lei el libro en pocos dias muy interesante","1"
"mantiene la intriga hasta el final","1"
"otra magnifica novela del señor navarro y ya van…","1"
"a partir de la mitad del libro la trama pierde interes ademas de que el autor retuerce y retuerce el hilo conductor no la recomiendo","0"
"comienza bien pero a parte de una critica politica acertada pone en el punto de mira la corrupcion policial al final el libro se hace aburrido cosa rara en este autor","0"
"le voy a puntuar con un 19describe los temas haciendoles tan reales y creibles que da miedo que puedan ser verdadde lectura facil te hace plantearte que hubieras hecho tu muy recomendable","1"
"el libro esgancha desde el primer momento","1"
"me ha gustado el libro lo he leido de un tiron en un par de dias sin duda el sr navarro sabe enganchar al lectorbuenas suerte con futuros titulos","1"
"ya he leido varias novelas de esteban navarro y personalmente las encuentro entretenidas y da gusto leerlas esta en concreto se nota que la escrito una persona que ha sido policia como es su caso te sumerge en un mundo que esta en nuestras vidas de una forma u otra aunque para nosotros nos pase desapercibido tambien como vivo en zaragoza me encanta que una parte del relato sea en esta ciudad seguire leyendo sus obras","1"
"una novela inteligente bien documentada con ritmo y lenguaje desvergonzado recomendable","1"
"un tema que desgraciadamente nunca pasara de moda y refleja a la sociedad y al estado que tenemos tal y como son","1"
"los primeros años de la vida profesional de una joven policia sirven como excusa para presentar a la policia nacional como un cuerpo cuyos integrantes se dedican a  cometer irregularidades y  corruptelasla novela carece de interes plana y aburridano la recomiendo","0"
"100% recomendable","1"
"muy bueno el relato y lo que todos sospechamos que ocurre en muchos estamentos oficiales y que nadie quiere confirmar","1"
"-- contentos con la novela fresca original bien hilada y de rapida lectura ademas nos ha parecido honesta al retratar varios aspectos feos sobre el funcionamiento de la policia nacional tan en la boca de agentes en persona como en foros en cuanto a la trama y a los personajes decir que estan bien sin ser una maravilla pero la novela cumple pues muestra una realidad ajena al publico disfruten","1"
"sensacional una vez mas esteban navarro deseando leer el proximo libro historias reales como la vida misma o acaso es una denuncia","1"
"llevaba todo el dia sin comer apestaba a sudor y me olia la boca a cuernos podridosesto lo dice la protagonista  una joven en practicas de la policia nacional para que veais la forma de escribir esta novela del escritormucha trama de corrupcion policial mafia rusa y ella pasando ese año en barcelona con la academia y las practicasaunque es de policias solo hay un muerto y no hay investigacion como en una novela policiacaha estado entretenida pero tanta politica me aburre me van mas el suspense y la busqueda del asesino","1"
"una trama que te engancha y que te mantiene expectante porque no sabes que mas cosas pueden pasarla a la protagonista","1"
"como todas las novelas de este escritor enganchada desde el principio bien narrada y entretenida me gusta que sea de episodios cortos se hace mas amena confiemos que haya mucha ficcion en la historia  ahora a esperar proxima novela de este autor","1"
"aun no lo he acabado y me tiene intrigadisimo atrapa desde el minuto uno y es absorbente total no te canses de escribir gracias","1"
"es el año 1997 y rebeca marin una joven de zaragoza e hija de un militar decide ser policia nacional asi que despues del proceso de seleccion y de pasar nueve meses en la escuela de avila llega a barcelona su primer destino pocos dias despues el inspector novoa de extranjeria un hombre con bastante mala fama entre la policia aparece asesinado con un tiro en la cabeza lo inquietante es que la bala que acabo con su vida pertenece al arma reglamentaria de un policia y lo peor es que rebeca descubre esa misma noche que su pistola no esta en el sitio que la dejopoco despues recibe una llamada que la indica lo que tiene que hacer para recuperar su arma y que no la acusen del crimen asi comienza todo un año para rebeca lleno de momentos inesperados en todos los sentidos y lo que en un principio deberia ser un año de practicas normal y corriente se convierte en meses de incertidumbre donde la joven policia descubre la verdadera realidad del mundo en el que viveme ha sorprendido esta nueva novela de esteban navarro es diferente no se centra tanto en la accion sino en los hechos que suceden alrededor de su protagonista es una novela que esta muy bien construida con capitulos cortos y con un buen ritmo y ademas llena de sorpresas el autor de forma natural y con respeto hacia el cuerpo de policia nos cuenta el dia a dia de los problemas que suceden dentro incluso nos habla del abuso de poder o la corrupcion alrededor de ellosy lo que mas me ha gustado ha sido el personaje de rebeca su evolucion personal con sus defectos sus errores propios de la inexperiencia pero tambien con la perseverancia que pone en intentar arreglar ciertos puntos dentro de su trabajo que no le gustan me parece una mujer muy real sus miedos y sus dudas la hacen mas humana y la conexion con ella es muy grandey para terminar comentar tambien que el entorno en el que se desarrolla la novela es a finales de los años 90 y por lo tanto el autor se centra en muchos puntos que iban sucediendo en esa epoca en esa sociedad que ha ido evolucionando poco a poco y sobre todo en lo que se refiere al desarrollo tecnologico que se vivio en poco tiempo quien era un adolescente o un joven pocos años antes del 2000 cuando lea esta novela seguro que en muchos momentos tambien se sentira identificadoes un libro muy entretenido con un lenguaje sencillo y real de nuevo esteban navarro consigue cautivarme con su novela es un autor que siempre tiene algo que contar y ademas lo hace muy bien","1"
"una novela que engancha desde la primera pagina la protagonista de nombre rebeca es una joven policia en practicas que acaba de salir de la academia y va destinada a barcelona alli le roban su arma y con ella es asesinado un inspector de policia y hasta ahi puedo contar porque no quiero desvelar nada de la trama es muy dinamica su lectura ya que esta escrita en primera persona siendo rebeca quien nos narra lo que le ocurrio en la academia y en su primer año como policia en practicas en barcelona un libro con giros inesperados que no te esperas y con personajes muy bien perfilados la verdad es que disfrute mucho con su lectura","1"
"muy interesante y dinamico","1"
"el libro me ha gustado muchisimo este autor me encanta por su forma de escribir y de detallar os lo recomiendo 100% no solo esta novela sino cualquiera de el pq me las he leido casi todas","1"
"impresionante todo lo que le puede pasar a una chica joven que esta de policia en practicas una trama muy bien planteada y que en cortos capitulos te va enganchando hasta el final","1"
"otra novela mas de esteban navarro que me sigue aficionando al genero policiaco recomiendo este autor y sus novelas si te gusta este genero no defrauda","1"
"muy adictiva","1"
"eva ha desaparecido sin dejar rastro cerca de santiago en vedra y las investigaciones apuntan a que algo ha tenido que ver un compañero de la universidad pero el misterio de su desaparicion va tomando poco a poco tintes insospechados intercalados en el entorno en el que vive la muchacha oseira san cristovo de cea un precioso municipio de ourense donde se desarrolla la mayor parte de la tramael hecho de que sea galicia la zona en la que se desenvuelve la narracion para mi ya tiene algo personal muchos de los pueblos que se citan en la novela los he visitado y el volver a sentirme en ellos me hace tener una conexion con el libroy si estais pensando que es la misma eva que aparece en los otros dos libros de roberto martinez guzman – muerte sin resurreccion y cafe y cigarrillos para un funeral- estais en lo cierto este tercer volumen en realidad podriamos decir que es una precuela el origen de eva santiago inspectora de policia que tendra que resolver unos casos bastante atipicos en las dos novelas mencionadas de las cuales todavia me falta una por leer pero que no tardare en hacerlocentrandome de nuevo en siete libros para eva decir que me ha gustado mucho el ritmo intenso que imprime el autor la incertidumbre en cada capitulo y el intentar adivinar lo que va a suceder a continuacion; y digo intentar porque para nada me esperaba el desenlace finaly no solo es eva la protagonista tambien hay que mencionar a sus padres lina y manuel y a su hermana vicky la madre una mujer encerrada en un mundo que manipula su marido un hombre sin escrupulos capaz de cualquier cosa para que se haga su voluntad y vicky una joven decidida que no duda en ningun momento de estar junto a su familia para ayudar a esclarecer la desaparicion de su hermana los demas personajes que aparecen en la novela tambien estan muy bien definidos son muy humanoses una novela inteligente desarrollada en varios frentes que se entremezclan entre si donde por un lado tenemos como viven los padres de eva su desaparicion que no saben que esta viva y por otro como vive su encierro la propia eva los sentimientos los pensamientos de ellos salen a la luz cada uno desde su situacion personal asi se une el misterio que envuelve toda novela policiaca con la realidad que viven los protagonistas ademas el lector que sabe lo que esta pasando con eva se encuentra inmerso en esa intensidad que plasma tan bien el autory en cuanto al titulo… los siete libros son algo especial pero no quiero citar cuales son hay que descubrirlos poco a poco e imaginar por que son esos y no otros lo que aparecen en la narracion todo tiene sentido","1"
"con la galicia mas castiza como telon de fondo roberto martinez maneja con buen hacer los elementos a su alcance el estilo no llega a ser propiamente descriptivo en cuanto a lo paisajisitico y visual pero se explaya de lo lindo en ahondar de manera recurrente en los sentimientos en especial en los de lina una especie de madre coraje que sucumbe ante la terrible situacion frente a ella parece haber un abismo de la melancolia pasara a la terrible impaciencia y a la desesperacion atentos a este personaje porque podriamos decir que se trata de la protagonista en esencia de la novelaapenas encontrara el lector una accion trepidante el ritmo lejos de lo que cabria esperar es lento de hecho en el nudo del meollo suceden un cumulo de capitulos en los que la trama no parece avanzar ni un solo paso ese transcurso monotono de los dias sin noticias sin novedades hace decaer la esperanza quiero pensar que la intencion del autor era precisamente esa transmitir el desasosiego de la espera sin conocer el desenlace de este modo a mi parecer esta caracteristica tan peculiar aleja bastante la historia del genero negro propiamente dichotambien el factor politico tiene una gran relevancia el trajin que se esconde tras manuel en un momento crucial para las proximas elecciones del ayuntamiento de cea dara mucho jugo al hablar de un conflicto de intereses y de conocida por todos corrupcion manuel sera un personaje deleznable durante toda la trama no se le regala ni un atisbo de bondadel reflejo de la vida en el pueblo al mas puro estilo gallego es un detalle que roberto ha cuidado con bastante esmero una delicia disfrutar de una ambientacion tan lograda con las relaciones entre vecinos incluso respetando lo que es la mas pura mentalidad pueblerina y no lo digo como algo negativo sino como una caracteristica que otros muchos autores parecen querer olvidar interesante punto a favoren cuanto a eva no ahondamos demasiado en ella pero si lo suficiente para dejar ver la cantidad de fuerza que la joven tiene y me imagino se le otorgara en las futuras historias lo que si puedo mencionaros de ella son los libros siete libros que la acompañaran durante el tiempo que estara desaparecida un estupendo guiño del autor a la lectura","1"
"es una novela que te va desgranando la verdad de una sociedad va dando giros que te hacen sospechar de todos pero dejando preguntas sin respuesta para mantenerte alarta a la siguiente pagina y cuando llega el final se responden todas esas preguntas en las ultimas paginas","1"
"entretenido","1"
"relato de un secuestro mezclado con un partido politico formado por personas corruptas y con mucho poder y final insperado","0"
"siete libros para eva es una lectura absorbente y adictiva y con un ritmo fluido en donde el lector vera como la trama va de menos a mas y en la que se encontrara con un final sorprendente y diria que a la par inesperado con unos giros en los ultimos capitulos que invitan a terminarla de una sentadanos encontramos ante una novela que tiene claros rasgos de thriller y novela negra e incluso de ficcion contemporaneaaunque eva es el personaje principal de esta novela no debemos de olvidar el papel que desempeñan sus padres manuel y lina cuyo peso a lo largo del desarrollo de la trama es practicamente similar al de la protagonista de hecho el autor nos presenta en buena parte de la misma capitulos alternos en los que vemos cual es la reaccion de ambos desde el momento en el que tienen conocimiento de su desaparicion una estructura en la que vemos como tambien se refleja la tension al mostrarnos al inicio de alguno de los capitulos los dias que han transcurrido desde la ausencia de la hija del matrimonio cuenta que va a menos para asi causar ese efectosiete libros para eva es una novela muy dinamica no solo por la alternancia que comente anteriormente sino tambien por las localizaciones de los escenarios por donde se mueven los personajes por estos escenarios nos encontramos con unos personajes que estan bien perfilados y que conoceremos perfectamente por la forma de ser y actuar de cada uno de ellos tanto los principales como los secundariosla trama es consistente esta bien escrita y contada por un narrador omnisciente con unas reflexiones a lo largo de ella que le dan fuerza a la misma y que seguro que hacen que no nos olvidemos de este titulo la abundancia de dialogos hace que la lectura sea fluida aunque estos se reducen en los capitulos en los que se narra como transcurre el secuestro de eva de forma que asi creo que el autor consigue provocar tension en el lector en esos capitulos la venganza corrupcion sentimientos y el maltrato psicologico estan muy presentes en esta novela donde tambien los secretos familiares jugaran una baza importante en el transcurrir de los capitulos nos encontramos con lo mejor y lo peor de cada persona relacionada con el caso como bien se nos adelanta en la sinopsis","1"
"me ha encantado y para nada me esperaba llegar a leer quien fue el secuestrador me ha tenido en vilo hasta las ultimas 3 paginas muy bueno","1"
"el principio me parecio interesante pero despues me fui decepcionando porque para mi la parte de los padres eran super aburrida lo uni o que me ha gustado ya ha sido cuando eva fue lbrerada y el final si me ha gustado solo eso es lo me ha gustado a otra parte aburrida y cada dia se me hacia mas largo de leer","0"
"recomendable es una trama adictiva desde las primeras paginas solo me distorsiona que la moneda de transaccion sea la peseta pero encaja igual que cualquier otra moneda","1"
"en esta novela la intriga no se halla en conocer el final de la trama sino en el quien y el por que presenta una serie de situaciones que junto a los personajes crea una telaraña de sospechas con ellas toca una variedad de temas como el mal trato la ambicion corrupcion envidia…… aunque tambien encontramos amor nobleza generosidad confianza……por eso puedo decir que esta novela refleja situaciones que afortunadamente aun podemos encontrar y otras que desgraciadamente estamos viviendo en la actualidadla historia es interesante y esta muy bien narrada con detalle pero sin profusion innecesaria y con un lenguaje claro transparente llano y directo asistimos en paralelo a la evolucion de un secuestro y al opresivo ambiente exterior de la familia de la secuestrada","1"
"en esta novela la intriga no se halla en conocer el final de la trama sino en el quien y el por que presenta una serie de situaciones que junto a los personajes crea una telaraña de sospechas con ellas toca una variedad de temas como el mal trato la ambicion corrupcion envidia…… aunque tambien encontramos amor nobleza generosidad confianza……por eso puedo decir que esta novela refleja situaciones que afortunadamente aun podemos encontrar y otras que desgraciadamente  estamos viviendo en la actualidadson principalmente tres los personajes que nos van mostrando esta historia eva la chica secuestrada lina la madre de eva y el secuestrador aunque por supuesto este no sabemos de quien se trata hasta el final de la historialos personajes secundarios completan la historia y contribuyen a engrosar la lista de sospechosos con los que el lector puede ir jugando a descubrir al autor del secuestro conforme la novela avanza  se revelan enigmas que los personajes van sembrando es cierto que quedan en el aire ciertas situaciones pero son de personajes secundarios y supongo que el autor no los habra considerado importantes para el desenlace final de la tramaes una historia entretenida con la que jugar a anticipar un final que puede sorprenderte y con la que el tiempo de lectura pasa con rapidez es una trama que por la variedad de cuestiones y situaciones que va tocando hace de ella un libro recomendable","1"
